"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Rating","Adaugă o evaluare"
"Assigned Options","Opţiuni alocate"
"Be the first to review this product","Fii primul care evaluează produsul"
"Default Value","Valoare standard"
"Delete Rating","Şterge evaluare"
"Edit Rating","Modifică evaluare"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Daca nu specifici titlul evaluarii pentru un magazin, va fi folosita valoarea standard."
"Manage Ratings","Gestionează evaluările"
"New Rating","Evaluare nouă"
"Option Label","Eticheta opţiune"
"Option Title","Titlu opţiune"
"Option Title:","Titlu opţiune:"
"Please select one of each ratings above","Alege câte una din evaluarile de mai sus"
"Rating Information","Informaţii evaluare"
"Rating Name","Nume evaluare"
"Rating Options","Opţiuni evaluare"
"Rating Title","Titlu evaluare"
"Rating Visibility","Vizibilitate evaluare"
"Rating isn't Available","Evaluarea nu este disponibilă"
"Rating with the same title","Evaluare cu acelaşi titlu"
"Save Rating","Salvează evaluare"
"Visible In","Vizibila în"
